,,country_code,country,sector,urbanity,all,lowest,low,middle,higher
country,107,BOL,Bolivia,Housing,rural,109.96,47.02,137.69,577.39,
country,108,BOL,Bolivia,Energy,rural,35.23,14.46,56.61,102.99,
country,109,BOL,Bolivia,Transport,rural,74.65,25.9,122.82,247.9,
country,110,BOL,Bolivia,Water,rural,4.63,1.57,6.97,20.34,
country,111,BOL,Bolivia,Educationsector,rural,20.01,8.3,29.71,74.87,
country,112,BOL,Bolivia,Health,rural,19.97,8.16,28.34,85.23,
country,113,BOL,Bolivia,ICT,rural,18.22,3.93,29.51,89.03,
country,114,BOL,Bolivia,Financialservices,rural,0.26,0.05,0.47,1.03,
country,115,BOL,Bolivia,Othergoodsandservices,rural,101.72,41.45,136.71,489.56,
country,116,BOL,Bolivia,Appliances.,rural,24.0,12.31,35.56,65.4,
country,117,BIH,Bosnia and Herzegovina,Alsectors,rural,6481.62,913.43,2529.12,5846.35,13465.44
country,118,BIH,Bosnia and Herzegovina,Foodandbeverages,rural,2069.85,313.34,834.89,1895.66,4174.76
country,119,BIH,Bosnia and Herzegovina,Clothingandfootwear,rural,344.16,2.2,96.87,292.37,819.49
country,120,BIH,Bosnia and Herzegovina,Housing,rural,1100.02,247.59,561.82,1053.73,1926.71
country,121,BIH,Bosnia and Herzegovina,Energy,rural,450.34,121.9,242.18,438.78,749.64
country,122,BIH,Bosnia and Herzegovina,Transport,rural,834.49,39.46,199.16,686.63,2098.81
country,123,BIH,Bosnia and Herzegovina,Water,rural,28.09,5.22,16.32,26.96,46.78
country,124,BIH,Bosnia and Herzegovina,Educationsector,rural,20.23,5.25,4.44,18.73,44.43
country,125,BIH,Bosnia and Herzegovina,Health,rural,281.74,19.63,106.79,255.96,584.17
country,126,BIH,Bosnia and Herzegovina,ICT,rural,233.14,30.2,98.53,213.51,465.21
country,127,BIH,Bosnia and Herzegovina,Financialservices,rural,120.15,8.35,51.6,113.0,229.63
country,128,BIH,Bosnia and Herzegovina,Othergoodsandservices,rural,806.14,99.91,244.67,680.72,1906.83
country,129,BIH,Bosnia and Herzegovina,Appliances.,rural,193.26,20.4,71.86,170.28,418.97
country,130,BRA,Brazil,Alsectors,rural,2788.78,680.35,2087.27,5255.01,18559.34
country,131,BRA,Brazil,Foodandbeverages,rural,770.07,285.7,779.25,1448.14,2407.43
country,132,BRA,Brazil,Clothingandfootwear,rural,178.02,62.39,157.03,341.41,774.86
country,133,BRA,Brazil,Housing,rural,178.77,36.97,123.16,376.43,1194.06
country,134,BRA,Brazil,Energy,rural,134.07,62.64,132.63,233.79,402.02
country,135,BRA,Brazil,Transport,rural,693.58,82.42,389.32,1321.66,6521.33
country,136,BRA,Brazil,Water,rural,23.02,7.72,22.3,47.12,73.71
country,137,BRA,Brazil,Educationsector,rural,61.94,3.4,18.22,126.83,735.08
country,138,BRA,Brazil,Health,rural,216.15,56.25,168.68,440.56,1215.86
country,139,BRA,Brazil,ICT,rural,55.06,5.71,39.65,132.96,337.33
country,140,BRA,Brazil,Financialservices,rural,1.91,0.36,1.51,4.61,8.97
country,141,BRA,Brazil,Othergoodsandservices,rural,422.46,59.47,203.64,680.19,4676.07
country,142,BRA,Brazil,Appliances.,rural,53.71,17.31,51.89,101.3,212.62
country,143,BGR,Bulgaria,Alsectors,rural,4178.02,938.98,2541.97,5073.95,11335.55
country,144,BGR,Bulgaria,Foodandbeverages,rural,1976.48,532.46,1339.1,2359.69,4139.73
country,145,BGR,Bulgaria,Clothingandfootwear,rural,113.91,23.53,71.62,132.44,414.75
country,146,BGR,Bulgaria,Housing,rural,656.17,153.58,320.12,830.27,2200.01
country,147,BGR,Bulgaria,Energy,rural,474.04,107.64,282.51,590.29,1031.92
country,148,BGR,Bulgaria,Transport,rural,230.37,1.09,85.18,296.45,1124.49
country,149,BGR,Bulgaria,Water,rural,99.9,12.33,67.7,121.91,160.96
country,150,BGR,Bulgaria,Educationsector,rural,41.2,16.34,31.88,44.66,126.9
country,151,BGR,Bulgaria,Health,rural,0.0,0.0,0.0,0.0,0.0
country,152,BGR,Bulgaria,ICT,rural,107.74,0.0,41.06,133.61,626.35
country,153,BGR,Bulgaria,Financialservices,rural,0.07,0.0,0.04,0.09,0.33
country,154,BGR,Bulgaria,Othergoodsandservices,rural,426.72,85.59,270.37,502.35,1376.84
country,155,BGR,Bulgaria,Appliances.,rural,51.41,6.41,32.4,62.19,133.26
country,156,BFA,Burkina Faso,Alsectors,rural,400.0,383.85,1559.34,5269.47,
country,157,BFA,Burkina Faso,Foodandbeverages,rural,205.3,201.37,503.62,420.85,
country,158,BFA,Burkina Faso,Clothingandfootwear,rural,43.24,41.66,162.15,203.04,
country,159,BFA,Burkina Faso,Housing,rural,40.87,38.93,180.69,586.75,
country,160,BFA,Burkina Faso,Energy,rural,11.11,10.49,56.11,133.06,
country,161,BFA,Burkina Faso,Transport,rural,32.54,27.7,351.87,3137.89,
country,162,BFA,Burkina Faso,Water,rural,1.16,0.92,19.04,18.25,
country,163,BFA,Burkina Faso,Educationsector,rural,3.11,2.84,23.87,13.48,
country,164,BFA,Burkina Faso,Health,rural,7.41,7.17,24.72,44.67,
country,165,BFA,Burkina Faso,ICT,rural,13.45,12.44,86.36,278.21,
country,166,BFA,Burkina Faso,Financialservices,rural,0.04,0.03,0.0,13.23,
country,167,BFA,Burkina Faso,Othergoodsandservices,rural,36.33,35.05,128.72,382.21,
country,168,BFA,Burkina Faso,Appliances.,rural,5.46,5.23,22.2,37.84,
country,169,BDI,Burundi,Alsectors,rural,276.96,274.64,1406.56,,
country,170,BDI,Burundi,Foodandbeverages,rural,211.39,209.73,1018.61,,
country,171,BDI,Burundi,Clothingandfootwear,rural,9.35,9.27,48.13,,
country,172,BDI,Burundi,Housing,rural,1.72,1.66,31.58,,
country,173,BDI,Burundi,Energy,rural,25.03,24.94,67.72,,
country,174,BDI,Burundi,Transport,rural,2.92,2.86,31.65,,
country,175,BDI,Burundi,Water,rural,0.07,0.07,1.58,,
country,176,BDI,Burundi,Educationsector,rural,1.06,1.06,1.17,,
country,177,BDI,Burundi,Health,rural,14.52,14.33,106.75,,
country,178,BDI,Burundi,ICT,rural,0.67,0.64,15.35,,
country,179,BDI,Burundi,Financialservices,rural,0.0,0.0,0.0,,
country,180,BDI,Burundi,Othergoodsandservices,rural,9.95,9.81,80.79,,
country,181,BDI,Burundi,Appliances.,rural,0.27,0.27,3.22,,
country,182,KHM,Cambodia,Alsectors,rural,930.38,663.65,1702.73,4299.88,
country,183,KHM,Cambodia,Foodandbeverages,rural,470.72,373.79,785.25,1022.02,
country,184,KHM,Cambodia,Clothingandfootwear,rural,31.15,24.35,53.18,70.16,
country,185,KHM,Cambodia,Housing,rural,126.39,72.14,233.94,1797.05,
country,186,KHM,Cambodia,Energy,rural,54.08,45.67,81.16,106.06,
country,187,KHM,Cambodia,Transport,rural,98.92,42.58,255.97,932.02,
country,188,KHM,Cambodia,Water,rural,3.82,2.64,7.32,16.93,
country,189,KHM,Cambodia,Educationsector,rural,8.56,6.3,16.12,16.89,
country,190,KHM,Cambodia,Health,rural,61.29,45.07,116.91,94.18,
country,191,KHM,Cambodia,ICT,rural,6.59,3.68,15.35,36.85,
country,192,KHM,Cambodia,Financialservices,rural,0.0,0.0,0.0,0.0,
country,193,KHM,Cambodia,Othergoodsandservices,rural,58.55,38.91,121.59,183.8,
country,194,KHM,Cambodia,Appliances.,rural,10.3,8.51,15.94,23.92,
country,195,CMR,Cameroon,Alsectors,rural,420.53,388.5,1633.04,4062.01,
country,196,CMR,Cameroon,Foodandbeverages,rural,190.25,179.13,590.82,2095.77,
country,197,CMR,Cameroon,Clothingandfootwear,rural,42.69,40.36,137.05,117.44,
country,198,CMR,Cameroon,Housing,rural,5.31,4.09,51.13,150.11,
country,199,CMR,Cameroon,Energy,rural,49.66,46.46,178.26,180.18,
country,200,CMR,Cameroon,Transport,rural,35.05,29.08,259.6,758.53,
country,201,CMR,Cameroon,Water,rural,0.31,0.3,0.86,0.88,
country,202,CMR,Cameroon,Educationsector,rural,7.27,6.94,21.09,1.03,
country,203,CMR,Cameroon,Health,rural,21.13,19.91,71.96,19.56,
country,204,CMR,Cameroon,ICT,rural,9.84,7.93,82.03,231.26,
country,205,CMR,Cameroon,Financialservices,rural,0.19,0.07,5.05,12.79,
country,206,CMR,Cameroon,Othergoodsandservices,rural,48.58,44.85,192.15,411.06,
country,207,CMR,Cameroon,Appliances.,rural,10.24,9.39,43.05,83.4,
country,208,CPV,Cabo Verde,Alsectors,rural,1307.47,733.84,1864.97,4661.55,13046.7
country,209,CPV,Cabo Verde,Foodandbeverages,rural,744.12,467.24,1077.8,1939.15,2746.94
country,210,CPV,Cabo Verde,Clothingandfootwear,rural,34.47,18.21,51.32,130.02,170.39
country,211,CPV,Cabo Verde,Housing,rural,206.4,88.41,291.03,1140.95,3448.03
country,212,CPV,Cabo Verde,Energy,rural,48.99,22.29,77.34,194.52,365.2
country,213,CPV,Cabo Verde,Transport,rural,53.79,18.5,58.58,377.33,3864.87
country,214,CPV,Cabo Verde,Water,rural,18.5,10.27,25.68,74.55,188.21
country,215,CPV,Cabo Verde,Educationsector,rural,11.86,5.37,15.14,67.18,363.76
country,216,CPV,Cabo Verde,Health,rural,20.27,11.25,29.61,73.05,100.56
country,217,CPV,Cabo Verde,ICT,rural,41.71,19.62,62.17,186.2,389.55
country,218,CPV,Cabo Verde,Financialservices,rural,2.35,0.41,2.82,24.4,94.13
country,219,CPV,Cabo Verde,Othergoodsandservices,rural,72.77,39.63,100.52,292.46,1067.27
country,220,CPV,Cabo Verde,Appliances.,rural,52.22,32.63,72.94,161.74,247.79
country,221,TCD,Chad,Alsectors,rural,694.45,574.87,1601.61,4321.75,
country,222,TCD,Chad,Foodandbeverages,rural,497.95,411.62,1154.23,3034.22,
country,223,TCD,Chad,Clothingandfootwear,rural,43.4,36.78,94.72,176.1,
country,224,TCD,Chad,Housing,rural,36.84,33.5,63.17,79.22,
country,225,TCD,Chad,Energy,rural,1.97,1.38,4.88,118.3,
country,226,TCD,Chad,Transport,rural,14.66,11.21,40.39,147.99,
country,227,TCD,Chad,Water,rural,0.76,0.41,3.4,10.53,
country,228,TCD,Chad,Educationsector,rural,1.17,1.18,1.06,1.04,
country,229,TCD,Chad,Health,rural,18.32,15.63,39.48,53.68,
country,230,TCD,Chad,ICT,rural,0.92,0.58,3.29,20.92,
country,231,TCD,Chad,Financialservices,rural,0.0,0.0,0.01,0.0,
country,232,TCD,Chad,Othergoodsandservices,rural,68.78,55.19,169.58,621.69,
country,233,TCD,Chad,Appliances.,rural,9.67,7.38,27.38,58.05,
country,234,CHN,China,Alsectors,rural,1140.98,703.89,1782.14,5109.4,10802.97
country,235,CHN,China,Foodandbeverages,rural,482.54,328.04,732.82,1726.72,3462.23
country,236,CHN,China,Clothingandfootwear,rural,66.7,40.11,105.88,306.84,648.18
country,237,CHN,China,Housing,rural,123.01,68.7,198.04,647.25,1402.37
country,238,CHN,China,Energy,rural,56.64,31.6,91.87,294.35,633.19
country,239,CHN,China,Transport,rural,56.26,29.28,92.55,323.51,711.24
country,240,CHN,China,Water,rural,5.77,3.22,9.36,29.97,64.48
country,241,CHN,China,Educationsector,rural,74.63,43.19,117.46,381.88,836.99
country,242,CHN,China,Health,rural,74.85,46.11,116.68,338.02,713.0
country,243,CHN,China,ICT,rural,78.45,42.2,127.37,436.11,957.99
country,244,CHN,China,Financialservices,rural,6.07,3.35,9.48,34.48,77.68
country,245,CHN,China,Othergoodsandservices,rural,114.13,67.02,177.61,579.3,1270.88
country,246,CHN,China,Appliances.,rural,1.93,1.07,3.02,10.98,24.73
country,247,COL,Colombia,Alsectors,rural,1524.1,702.83,1970.42,4819.84,12989.16
country,248,COL,Colombia,Foodandbeverages,rural,764.39,388.73,1009.68,2143.83,3142.99
country,249,COL,Colombia,Clothingandfootwear,rural,56.02,24.2,66.88,205.72,905.85
country,250,COL,Colombia,Housing,rural,252.9,123.0,319.81,751.92,3038.7
country,251,COL,Colombia,Energy,rural,72.21,38.4,94.03,194.91,351.83
country,252,COL,Colombia,Transport,rural,116.65,32.59,149.81,457.51,2916.54
country,253,COL,Colombia,Water,rural,6.7,3.72,8.36,18.49,46.02
country,254,COL,Colombia,Educationsector,rural,7.31,3.95,9.49,20.61,10.1
country,255,COL,Colombia,Health,rural,97.71,33.03,128.82,416.48,291.9
country,256,COL,Colombia,ICT,rural,42.37,15.34,52.71,172.4,553.35
country,257,COL,Colombia,Financialservices,rural,27.02,5.39,31.5,139.55,769.18
country,258,COL,Colombia,Othergoodsandservices,rural,80.82,34.48,99.32,298.42,962.7
country,259,COL,Colombia,Appliances.,rural,0.0,0.0,0.0,0.0,0.0
country,260,COD,"Congo, The Democratic Republic of the",Alsectors,rural,218.0,215.85,1488.11,,
country,261,COD,"Congo, The Democratic Republic of the",Foodandbeverages,rural,164.02,162.87,846.12,,
country,262,COD,"Congo, The Democratic Republic of the",Clothingandfootwear,rural,12.32,12.21,79.6,,
country,263,COD,"Congo, The Democratic Republic of the",Housing,rural,0.59,0.58,10.18,,
country,264,COD,"Congo, The Democratic Republic of the",Energy,rural,10.7,10.52,115.32,,
country,265,COD,"Congo, The Democratic Republic of the",Transport,rural,3.03,2.88,88.75,,
country,266,COD,"Congo, The Democratic Republic of the",Water,rural,1.66,1.49,102.68,,
country,267,COD,"Congo, The Democratic Republic of the",Educationsector,rural,3.67,3.66,9.22,,
country,268,COD,"Congo, The Democratic Republic of the",Health,rural,6.11,6.07,24.91,,
country,269,COD,"Congo, The Democratic Republic of the",ICT,rural,0.88,0.73,85.89,,
country,270,COD,"Congo, The Democratic Republic of the",Financialservices,rural,0.0,0.0,0.0,,
country,271,COD,"Congo, The Democratic Republic of the",Othergoodsandservices,rural,12.22,12.07,100.05,,
country,272,COD,"Congo, The Democratic Republic of the",Appliances.,rural,2.8,2.76,25.37,,
country,273,COG,Congo,Alsectors,rural,1012.59,703.54,1731.48,4176.26,
country,274,COG,Congo,Foodandbeverages,rural,622.56,431.66,1082.34,2203.1,
country,275,COG,Congo,Clothingandfootwear,rural,55.51,32.36,103.11,440.71,
country,276,COG,Congo,Housing,rural,110.81,85.26,167.51,437.47,
country,277,COG,Congo,Energy,rural,31.36,25.07,44.04,142.25,
country,278,COG,Congo,Transport,rural,35.7,21.14,70.37,165.81,
country,279,COG,Congo,Water,rural,5.61,3.32,11.86,6.92,
country,280,COG,Congo,Educationsector,rural,6.04,4.73,8.71,28.56,
country,281,COG,Congo,Health,rural,31.52,24.97,48.2,64.34,
country,282,COG,Congo,ICT,rural,21.64,9.59,46.77,213.84,
country,283,COG,Congo,Financialservices,rural,0.5,0.42,0.74,0.0,
country,284,COG,Congo,Othergoodsandservices,rural,74.13,52.11,119.75,432.43,
country,285,COG,Congo,Appliances.,rural,17.23,12.93,28.08,40.83,
country,286,CIV,Côte d'Ivoire,Alsectors,rural,891.17,627.23,1740.61,4334.13,10249.32
country,287,CIV,Côte d'Ivoire,Foodandbeverages,rural,481.74,354.49,909.13,1850.64,2387.47
country,288,CIV,Côte d'Ivoire,Clothingandfootwear,rural,63.23,49.69,107.4,229.84,500.12
country,289,CIV,Côte d'Ivoire,Housing,rural,83.91,54.35,169.96,619.08,2254.58
country,290,CIV,Côte d'Ivoire,Energy,rural,8.52,5.42,16.91,77.32,35.15
country,291,CIV,Côte d'Ivoire,Transport,rural,61.26,34.62,140.8,500.27,2965.94
country,292,CIV,Côte d'Ivoire,Water,rural,5.12,4.11,8.36,18.58,0.0
country,293,CIV,Côte d'Ivoire,Educationsector,rural,6.49,5.57,9.98,9.05,0.0
country,294,CIV,Côte d'Ivoire,Health,rural,46.31,31.88,95.29,192.82,219.54
country,295,CIV,Côte d'Ivoire,ICT,rural,56.74,33.09,128.45,444.9,700.36
country,296,CIV,Côte d'Ivoire,Financialservices,rural,0.75,0.35,2.02,6.26,32.77
country,297,CIV,Côte d'Ivoire,Othergoodsandservices,rural,65.57,45.1,131.86,324.21,951.97
country,298,CIV,Côte d'Ivoire,Appliances.,rural,11.54,8.57,20.44,61.16,201.42
country,299,DJI,Djibouti,Alsectors,rural,1057.48,678.05,1735.29,4981.75,10990.92
country,300,DJI,Djibouti,Foodandbeverages,rural,555.95,436.54,934.11,1198.21,612.59
country,301,DJI,Djibouti,Clothingandfootwear,rural,31.29,22.18,60.65,70.22,58.52
country,302,DJI,Djibouti,Housing,rural,149.44,115.14,248.46,416.29,153.37
country,303,DJI,Djibouti,Energy,rural,62.82,28.02,123.93,666.73,32.86
country,304,DJI,Djibouti,Transport,rural,49.53,21.75,152.49,89.66,4.95
country,305,DJI,Djibouti,Water,rural,6.85,3.57,15.57,40.51,0.0
country,306,DJI,Djibouti,Educationsector,rural,2.09,1.18,4.57,6.75,16.2
country,307,DJI,Djibouti,Health,rural,5.64,3.43,12.25,18.91,13.32
country,308,DJI,Djibouti,ICT,rural,0.0,0.0,0.0,0.0,0.0
country,309,DJI,Djibouti,Financialservices,rural,0.0,0.0,0.0,0.0,0.0
country,310,DJI,Djibouti,Othergoodsandservices,rural,180.18,34.69,162.98,2454.09,10056.86
country,311,DJI,Djibouti,Appliances.,rural,13.71,11.56,20.27,20.37,42.25
country,312,EGY,Egypt,Alsectors,rural,1049.09,843.22,1590.91,4398.23,19006.74
country,313,EGY,Egypt,Foodandbeverages,rural,559.87,471.27,806.39,1255.86,1868.04
country,314,EGY,Egypt,Clothingandfootwear,rural,66.73,55.37,97.72,207.42,245.97
country,315,EGY,Egypt,Housing,rural,142.29,111.6,224.83,586.25,1207.7
country,316,EGY,Egypt,Energy,rural,26.72,22.83,36.83,71.19,935.44
country,317,EGY,Egypt,Transport,rural,32.58,22.39,55.32,229.39,6458.51
country,318,EGY,Egypt,Water,rural,6.81,5.55,10.27,20.4,41.09
country,319,EGY,Egypt,Educationsector,rural,22.54,16.55,38.07,170.46,0.0
country,320,EGY,Egypt,Health,rural,61.32,38.62,114.42,736.3,6413.65
country,321,EGY,Egypt,ICT,rural,22.21,15.29,40.85,121.34,221.81
country,322,EGY,Egypt,Financialservices,rural,1.18,0.84,2.0,12.96,32.42
country,323,EGY,Egypt,Othergoodsandservices,rural,94.11,72.28,145.98,935.65,1498.76
country,324,EGY,Egypt,Appliances.,rural,12.73,10.65,18.23,51.0,83.36
country,325,SLV,El Salvador,Alsectors,rural,1180.1,581.77,1897.12,4611.21,14488.17
country,326,SLV,El Salvador,Foodandbeverages,rural,926.84,395.29,1537.02,3900.94,14063.03
country,327,SLV,El Salvador,Clothingandfootwear,rural,16.45,12.9,21.65,39.65,48.34
country,328,SLV,El Salvador,Housing,rural,3.96,2.04,6.15,24.47,13.12
country,329,SLV,El Salvador,Energy,rural,47.91,36.94,67.1,110.13,64.9
country,330,SLV,El Salvador,Transport,rural,21.27,13.85,33.79,67.69,33.07
country,331,SLV,El Salvador,Water,rural,0.0,0.0,0.0,0.0,0.0
